man_hour,workcenter,proses,tipe_proses,kapasitas,produk,id_tipe_proses,id_proses,id_workcenter,id_kapasitas,id_produk,,
6,CORE & ASSEMBLY,INSTAL HOUSING,DENGAN BASE,15,Dry Resin,116,72,10,2,5,,,LV,111,,ACCESSORIES / PROTEKSI,111,,,,,,2VTB-12 ,111,,,
3,CORE & ASSEMBLY,INSTAL HOUSING,TANPA BASE,15,Dry Resin,117,72,10,2,5,,,STACKING OUTSOURCHING,112,,ANGKAT COIL,112,,,,,,2VTB-24 ,112,,,
4,CORE & ASSEMBLY,BONGKAR HOUSING,DENGAN BASE,15,Dry Resin,116,73,10,2,5,,,STACKING INHOUSE,113,,STACKING SUSUN CORE YOKE ATAS,113,,,,,,DRY - TYPE,113,,,
3,CORE & ASSEMBLY,BONGKAR HOUSING,TANPA BASE,15,Dry Resin,117,73,10,2,5,,,NON-COMPLETE,114,,STACKING SUSUN CORE TOTAL,114,,,,,,TLC-1A/1B ,114,,,
1,CORE & ASSEMBLY,PEMBUATAN CU LINK,HV / LV (STANDARD),15,Dry Resin,118,74,10,2,5,,,COMPLETE,115,,TYPE TAP CHANGER,115,,,,,,RCT - 1D1 / 1D2 ,115,,,
2,CORE & ASSEMBLY,PEMBUATAN CU LINK,HV + LV (STANDARD),15,Dry Resin,119,74,10,2,5,,,DENGAN BASE,116,,ACCESSORIES TRAFO,116,,,,,,RCT - 1N1/2 ,116,,,
1.5,CORE & ASSEMBLY,PEMBUATAN CU LINK,HV / LV (NON-STANDARD),15,Dry Resin,120,74,10,2,5,,,TANPA BASE,117,,CABLE BOX,117,,,,,,RCT - 12A ,117,,,
2.5,CORE & ASSEMBLY,PEMBUATAN CU LINK,HV + LV (NON-STANDARD),15,Dry Resin,121,74,10,2,5,,,HV / LV (STANDARD),118,,COPPER LINK,118,,,,,,RCT - 1L ,118,,,
1,CORE & ASSEMBLY,OTHERS,PEMBUATAN CU BAR,15,Dry Resin,122,75,10,2,5,,,HV + LV (STANDARD),119,,RADIATOR PANEL,119,,,,,,RCT - 1K ,119,,,
0.5,CORE & ASSEMBLY,OTHERS,PEMBUATAN KONEKSI HV,15,Dry Resin,123,75,10,2,5,,,HV / LV (NON-STANDARD),120,,OVEN,120,,,,,,RCT - 1A1/1A2 ,120,,,
3,CORE & ASSEMBLY,OTHERS,ASSEMBLY,15,Dry Resin,124,75,10,2,5,,,HV + LV (NON-STANDARD),121,,ACCESSORIES,121,,,,,,RCT- RC ,121,,,
8,CORE & ASSEMBLY,OTHERS,FINISHING,15,Dry Resin,125,75,10,2,5,,,PEMBUATAN CU BAR,122,,QC,122,,,,,,ZTA - 1 / 1A / 1B ,122,,,
