durasi_manhour,nama_workcenter,nama_proses,nama_tipeproses,ukuran_kapasitas,nama_kategoriproduk,created_at,updated_at
1,FINISHING,ACCESSORIES TRAFO,DIFFERENTIAL VT,225,REPAIR,,
14,FINISHING,ACCESSORIES TRAFO,FAN,225,REPAIR,,
4,FINISHING,ACCESSORIES TRAFO,NGR,225,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,ARRESTER,225,REPAIR,,
4,FINISHING,ACCESSORIES TRAFO,HEATER,225,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,PT-100,225,REPAIR,,
2,FINISHING,CABLE BOX,HV / LV,225,REPAIR,,
4,FINISHING,CABLE BOX,HV + LV,225,REPAIR,,
5,FINISHING,WIRING,STANDARD,225,REPAIR,,
20,FINISHING,WIRING,NON-STANDARD,225,REPAIR,,
3,FINISHING,COPPER LINK,HV / LV (STANDARD),225,REPAIR,,
6,FINISHING,COPPER LINK,HV + LV (STANDARD),225,REPAIR,,
14,FINISHING,COPPER LINK,HV / LV (NON-STANDARD),225,REPAIR,,
28,FINISHING,COPPER LINK,HV /+ LV (NON STANDARD),225,REPAIR,,
14,FINISHING,RADIATOR PANEL,BONGKAR,225,REPAIR,,
14,FINISHING,RADIATOR PANEL,PASANG,225,REPAIR,,
2,FINISHING,CONSERVATOR,BONGKAR,225,REPAIR,,
2,FINISHING,CONSERVATOR,PASANG,225,REPAIR,,
2,QC TEST,QC TEST,ROUTINE TEST,225,REPAIR,,
12,QC TEST,QC TEST,LIGHTNING IMPULSE,225,REPAIR,,
15,QC TEST,QC TEST,TEMPERATURE RISE,225,REPAIR,,
1.5,QC TEST,QC TEST,TAN DELTA,225,REPAIR,,
1.5,QC TEST,QC TEST,NOISE,225,REPAIR,,
2.5,QC TEST,QC TEST,SFRA,225,REPAIR,,
2,QC TEST,QC TEST,PD,225,REPAIR,,
0.33,QC TEST,QC TEST,DGA,225,REPAIR,,
1.5,BONGKAR,UNTANKING,ON COVER TYPE BOLTED (BIASA),250,REPAIR,,
2,BONGKAR,UNTANKING,ON COVER TYPE BOLTED (STAINLESS),250,REPAIR,,
2.5,BONGKAR,UNTANKING,ON COVER TYPE WELDED,250,REPAIR,,
2.5,BONGKAR,UNTANKING,SIDE WALL STANDARD TYPE BOLTED (BIASA),250,REPAIR,,
3,BONGKAR,UNTANKING,SIDE WALL STANDARD TYPE BOLTED (STAINLESS),250,REPAIR,,
4,BONGKAR,UNTANKING,SIDE WALL STANDARDTYPE WELDED,250,REPAIR,,
3.5,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE BOLTED (BIASA),250,REPAIR,,
4,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE BOLTED (STAINLESS),250,REPAIR,,
3.5,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE WELDED,250,REPAIR,,
0,BONGKAR,CONSERVATOR,CONSERVATOR,250,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX HV,250,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX LV,250,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX HV-LV,250,REPAIR,,
0,BONGKAR,RADIATOR PANEL,RADIATOR S/D 4 SUSUN,250,REPAIR,,
0,BONGKAR,RADIATOR PANEL,RADIATOR S/D 8 SUSUN,250,REPAIR,,
0.45,BONGKAR,ACCESSORIES / PROTEKSI,BUSHING HV,250,REPAIR,,
0.45,BONGKAR,ACCESSORIES / PROTEKSI,BUSHING LV,250,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,OIL LEVEL INDICATOR,250,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,BUCHHOLZ RELAY,250,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,PRESSURE RELIEF DEVICE,250,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,WINDING THERMOMETER,250,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,THERMOMETER,250,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,OLTC,250,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,MOTOR DRIVE,250,REPAIR,,
0.5,BONGKAR,CORE,ANGKAT COIL YOKE CORE ATAS,250,REPAIR,,
2,BONGKAR,CORE,ANGKAT COIL BONGKAR TOTAL,250,REPAIR,,
4,BONGKAR,CORE,ANGKAT COIL WOUND,250,REPAIR,,
2,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,250,REPAIR,,
2.5,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,250,REPAIR,,
12,COIL MAKING,COIL LV,SHEET KONDUKTOR (2 SECTION),250,REPAIR,,
12,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,250,REPAIR,,
13,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 2,250,REPAIR,,
14.25,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 3,250,REPAIR,,
15.8,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 4,250,REPAIR,,
0,COIL MAKING,COIL LV,FLAT HELICAL,250,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 1,250,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 2,250,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 3,250,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 4,250,REPAIR,,
0.25,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),250,REPAIR,,
1.5,COIL MAKING,COIL LV,GROUNDSHIELD,250,REPAIR,,
0.25,COIL MAKING,COIL LV,TRANSPOSE,250,REPAIR,,
10.5,COIL MAKING,COIL HV,SHEET KONDUKTOR 1,250,REPAIR,,
11,COIL MAKING,COIL HV,SHEET KONDUKTOR 2,250,REPAIR,,
10.5,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,250,REPAIR,,
10.5,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,250,REPAIR,,
10.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 1,250,REPAIR,,
10.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 2,250,REPAIR,,
11.75,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 3,250,REPAIR,,
13.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 4,250,REPAIR,,
11.75,COIL MAKING,COIL HV,2 SECTION,250,REPAIR,,
22.5,COIL MAKING,COIL HV,4 SECTION,250,REPAIR,,
10.5,COIL MAKING,COIL HV,FR OLTC,250,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 1,250,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 2,250,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 3,250,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 4,250,REPAIR,,
0.25,COIL MAKING,COIL HV,TRANSPOSE,250,REPAIR,,
0.5,COIL MAKING,COIL HV,PRESS COIL,250,REPAIR,,
7,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUND-KOTAK,250,REPAIR,,
3,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,STACKING SUSUN CORE YOKE ATAS,250,REPAIR,,
8.5,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,STACKING SUSUN CORE TOTAL,250,REPAIR,,
3,CONNECTION,CONNECTION,OFF-LOAD,250,REPAIR,,
28,CONNECTION,CONNECTION,ON-LOAD,250,REPAIR,,
14,CONNECTION,CONNECTION,CHANGE OVER BOARD,250,REPAIR,,
28,CONNECTION,CONNECTION,DOUBLE TAP,250,REPAIR,,
1,FINAL ASSEMBLY,HV CONNECTION,FLAT,250,REPAIR,,
2,FINAL ASSEMBLY,HV CONNECTION,RAIL,250,REPAIR,,
1,FINAL ASSEMBLY,HV CONNECTION,WIRE SOFT,250,REPAIR,,
1,FINAL ASSEMBLY,LV CONNECTION,FLAT,250,REPAIR,,
2,FINAL ASSEMBLY,LV CONNECTION,RAIL,250,REPAIR,,
1,FINAL ASSEMBLY,LV CONNECTION,WIRE SOFT,250,REPAIR,,
2,FINAL ASSEMBLY,FINAL ASSEMBLY,STANDARD,250,REPAIR,,
3,FINAL ASSEMBLY,FINAL ASSEMBLY,NON-STANDARD,250,REPAIR,,
1,FINAL ASSEMBLY,FINAL ASSEMBLY,PENGISIAN OLI,250,REPAIR,,
2,FINAL ASSEMBLY,FINAL ASSEMBLY,RADIATOR VALVE,250,REPAIR,,
3,FINAL ASSEMBLY,FINAL ASSEMBLY,SIDEWALL,250,REPAIR,,
2,FINAL ASSEMBLY,FINAL ASSEMBLY,TAP CHANGER ROTARY,250,REPAIR,,
4,FINAL ASSEMBLY,FINAL ASSEMBLY,ACCESSORIES PAD MOUNTED,250,REPAIR,,
4,FINAL ASSEMBLY,FINAL ASSEMBLY,ACCESSORIES POLE MOUNTED,250,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,RAPID PRESSURE RISE RELAY,250,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,WINDING THERMOMETER,250,REPAIR,,
2,FINISHING,ACCESSORIES TRAFO,DGPT C/W CONTROL BOX,250,REPAIR,,
2,FINISHING,ACCESSORIES TRAFO,MEMBRAN SEPERATOR,250,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,DIAL THERMOMETER,250,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,OIL THERMOMETER,250,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,BUCCHOLZ RELAY,250,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,ANTI VIBRATION,250,REPAIR,,
14,FINISHING,ACCESSORIES TRAFO,OLTC,250,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,MOLG,250,REPAIR,,
0.5,FINISHING,ACCESSORIES TRAFO,PRD,250,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,CONTROL VT,250,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,DIFFERENTIAL VT,250,REPAIR,,
14,FINISHING,ACCESSORIES TRAFO,FAN,250,REPAIR,,
4,FINISHING,ACCESSORIES TRAFO,NGR,250,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,ARRESTER,250,REPAIR,,
4,FINISHING,ACCESSORIES TRAFO,HEATER,250,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,PT-100,250,REPAIR,,
2,FINISHING,CABLE BOX,HV / LV,250,REPAIR,,
4,FINISHING,CABLE BOX,HV + LV,250,REPAIR,,
5,FINISHING,WIRING,STANDARD,250,REPAIR,,
20,FINISHING,WIRING,NON-STANDARD,250,REPAIR,,
3,FINISHING,COPPER LINK,HV / LV (STANDARD),250,REPAIR,,
6,FINISHING,COPPER LINK,HV + LV (STANDARD),250,REPAIR,,
14,FINISHING,COPPER LINK,HV / LV (NON-STANDARD),250,REPAIR,,
28,FINISHING,COPPER LINK,HV /+ LV (NON STANDARD),250,REPAIR,,
14,FINISHING,RADIATOR PANEL,BONGKAR,250,REPAIR,,
14,FINISHING,RADIATOR PANEL,PASANG,250,REPAIR,,
2,FINISHING,CONSERVATOR,BONGKAR,250,REPAIR,,
2,FINISHING,CONSERVATOR,PASANG,250,REPAIR,,
2,QC TEST,QC TEST,ROUTINE TEST,250,REPAIR,,
12,QC TEST,QC TEST,LIGHTNING IMPULSE,250,REPAIR,,
15,QC TEST,QC TEST,TEMPERATURE RISE,250,REPAIR,,
1.5,QC TEST,QC TEST,TAN DELTA,250,REPAIR,,
1.5,QC TEST,QC TEST,NOISE,250,REPAIR,,
2.5,QC TEST,QC TEST,SFRA,250,REPAIR,,
2,QC TEST,QC TEST,PD,250,REPAIR,,
0.33,QC TEST,QC TEST,DGA,250,REPAIR,,
1.5,BONGKAR,UNTANKING,ON COVER TYPE BOLTED (BIASA),275,REPAIR,,
2,BONGKAR,UNTANKING,ON COVER TYPE BOLTED (STAINLESS),275,REPAIR,,
2.5,BONGKAR,UNTANKING,ON COVER TYPE WELDED,275,REPAIR,,
2.5,BONGKAR,UNTANKING,SIDE WALL STANDARD TYPE BOLTED (BIASA),275,REPAIR,,
3,BONGKAR,UNTANKING,SIDE WALL STANDARD TYPE BOLTED (STAINLESS),275,REPAIR,,
4,BONGKAR,UNTANKING,SIDE WALL STANDARDTYPE WELDED,275,REPAIR,,
3.5,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE BOLTED (BIASA),275,REPAIR,,
4,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE BOLTED (STAINLESS),275,REPAIR,,
3.5,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE WELDED,275,REPAIR,,
0,BONGKAR,CONSERVATOR,CONSERVATOR,275,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX HV,275,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX LV,275,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX HV-LV,275,REPAIR,,
0,BONGKAR,RADIATOR PANEL,RADIATOR S/D 4 SUSUN,275,REPAIR,,
0,BONGKAR,RADIATOR PANEL,RADIATOR S/D 8 SUSUN,275,REPAIR,,
0.45,BONGKAR,ACCESSORIES / PROTEKSI,BUSHING HV,275,REPAIR,,
0.45,BONGKAR,ACCESSORIES / PROTEKSI,BUSHING LV,275,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,OIL LEVEL INDICATOR,275,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,BUCHHOLZ RELAY,275,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,PRESSURE RELIEF DEVICE,275,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,WINDING THERMOMETER,275,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,THERMOMETER,275,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,OLTC,275,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,MOTOR DRIVE,275,REPAIR,,
0.5,BONGKAR,CORE,ANGKAT COIL YOKE CORE ATAS,275,REPAIR,,
2,BONGKAR,CORE,ANGKAT COIL BONGKAR TOTAL,275,REPAIR,,
4,BONGKAR,CORE,ANGKAT COIL WOUND,275,REPAIR,,
4,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,275,REPAIR,,
4.5,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,275,REPAIR,,
12,COIL MAKING,COIL LV,SHEET KONDUKTOR (2 SECTION),275,REPAIR,,
12,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,275,REPAIR,,
13,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 2,275,REPAIR,,
14.25,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 3,275,REPAIR,,
15.8,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 4,275,REPAIR,,
0,COIL MAKING,COIL LV,FLAT HELICAL,275,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 1,275,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 2,275,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 3,275,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 4,275,REPAIR,,
0.25,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),275,REPAIR,,
1.5,COIL MAKING,COIL LV,GROUNDSHIELD,275,REPAIR,,
0.25,COIL MAKING,COIL LV,TRANSPOSE,275,REPAIR,,
10.5,COIL MAKING,COIL HV,SHEET KONDUKTOR 1,275,REPAIR,,
11,COIL MAKING,COIL HV,SHEET KONDUKTOR 2,275,REPAIR,,
10.5,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,275,REPAIR,,
10.5,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,275,REPAIR,,
10.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 1,275,REPAIR,,
10.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 2,275,REPAIR,,
11.75,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 3,275,REPAIR,,
13.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 4,275,REPAIR,,
11.75,COIL MAKING,COIL HV,2 SECTION,275,REPAIR,,
22.5,COIL MAKING,COIL HV,4 SECTION,275,REPAIR,,
10.5,COIL MAKING,COIL HV,FR OLTC,275,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 1,275,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 2,275,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 3,275,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 4,275,REPAIR,,
0.25,COIL MAKING,COIL HV,TRANSPOSE,275,REPAIR,,
0.5,COIL MAKING,COIL HV,PRESS COIL,275,REPAIR,,
7,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUND-KOTAK,275,REPAIR,,
3,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,STACKING SUSUN CORE YOKE ATAS,275,REPAIR,,
8.5,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,STACKING SUSUN CORE TOTAL,275,REPAIR,,
3,CONNECTION,CONNECTION,OFF-LOAD,275,REPAIR,,
28,CONNECTION,CONNECTION,ON-LOAD,275,REPAIR,,
14,CONNECTION,CONNECTION,CHANGE OVER BOARD,275,REPAIR,,
28,CONNECTION,CONNECTION,DOUBLE TAP,275,REPAIR,,
1,FINAL ASSEMBLY,HV CONNECTION,FLAT,275,REPAIR,,
2,FINAL ASSEMBLY,HV CONNECTION,RAIL,275,REPAIR,,
1,FINAL ASSEMBLY,HV CONNECTION,WIRE SOFT,275,REPAIR,,
1,FINAL ASSEMBLY,LV CONNECTION,FLAT,275,REPAIR,,
2,FINAL ASSEMBLY,LV CONNECTION,RAIL,275,REPAIR,,
1,FINAL ASSEMBLY,LV CONNECTION,WIRE SOFT,275,REPAIR,,
2,FINAL ASSEMBLY,FINAL ASSEMBLY,STANDARD,275,REPAIR,,
3,FINAL ASSEMBLY,FINAL ASSEMBLY,NON-STANDARD,275,REPAIR,,
1,FINAL ASSEMBLY,FINAL ASSEMBLY,PENGISIAN OLI,275,REPAIR,,
2,FINAL ASSEMBLY,FINAL ASSEMBLY,RADIATOR VALVE,275,REPAIR,,
3,FINAL ASSEMBLY,FINAL ASSEMBLY,SIDEWALL,275,REPAIR,,
2,FINAL ASSEMBLY,FINAL ASSEMBLY,TAP CHANGER ROTARY,275,REPAIR,,
4,FINAL ASSEMBLY,FINAL ASSEMBLY,ACCESSORIES PAD MOUNTED,275,REPAIR,,
4,FINAL ASSEMBLY,FINAL ASSEMBLY,ACCESSORIES POLE MOUNTED,275,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,RAPID PRESSURE RISE RELAY,275,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,WINDING THERMOMETER,275,REPAIR,,
2,FINISHING,ACCESSORIES TRAFO,DGPT C/W CONTROL BOX,275,REPAIR,,
2,FINISHING,ACCESSORIES TRAFO,MEMBRAN SEPERATOR,275,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,DIAL THERMOMETER,275,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,OIL THERMOMETER,275,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,BUCCHOLZ RELAY,275,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,ANTI VIBRATION,275,REPAIR,,
14,FINISHING,ACCESSORIES TRAFO,OLTC,275,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,MOLG,275,REPAIR,,
0.5,FINISHING,ACCESSORIES TRAFO,PRD,275,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,CONTROL VT,275,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,DIFFERENTIAL VT,275,REPAIR,,
14,FINISHING,ACCESSORIES TRAFO,FAN,275,REPAIR,,
4,FINISHING,ACCESSORIES TRAFO,NGR,275,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,ARRESTER,275,REPAIR,,
4,FINISHING,ACCESSORIES TRAFO,HEATER,275,REPAIR,,
1,FINISHING,ACCESSORIES TRAFO,PT-100,275,REPAIR,,
2,FINISHING,CABLE BOX,HV / LV,275,REPAIR,,
4,FINISHING,CABLE BOX,HV + LV,275,REPAIR,,
5,FINISHING,WIRING,STANDARD,275,REPAIR,,
20,FINISHING,WIRING,NON-STANDARD,275,REPAIR,,
3,FINISHING,COPPER LINK,HV / LV (STANDARD),275,REPAIR,,
6,FINISHING,COPPER LINK,HV + LV (STANDARD),275,REPAIR,,
14,FINISHING,COPPER LINK,HV / LV (NON-STANDARD),275,REPAIR,,
28,FINISHING,COPPER LINK,HV /+ LV (NON STANDARD),275,REPAIR,,
14,FINISHING,RADIATOR PANEL,BONGKAR,275,REPAIR,,
14,FINISHING,RADIATOR PANEL,PASANG,275,REPAIR,,
2,FINISHING,CONSERVATOR,BONGKAR,275,REPAIR,,
2,FINISHING,CONSERVATOR,PASANG,275,REPAIR,,
2,QC TEST,QC TEST,ROUTINE TEST,275,REPAIR,,
12,QC TEST,QC TEST,LIGHTNING IMPULSE,275,REPAIR,,
15,QC TEST,QC TEST,TEMPERATURE RISE,275,REPAIR,,
1.5,QC TEST,QC TEST,TAN DELTA,275,REPAIR,,
1.5,QC TEST,QC TEST,NOISE,275,REPAIR,,
2.5,QC TEST,QC TEST,SFRA,275,REPAIR,,
2,QC TEST,QC TEST,PD,275,REPAIR,,
0.33,QC TEST,QC TEST,DGA,275,REPAIR,,
1.5,BONGKAR,UNTANKING,ON COVER TYPE BOLTED (BIASA),300,REPAIR,,
2,BONGKAR,UNTANKING,ON COVER TYPE BOLTED (STAINLESS),300,REPAIR,,
2.5,BONGKAR,UNTANKING,ON COVER TYPE WELDED,300,REPAIR,,
2.5,BONGKAR,UNTANKING,SIDE WALL STANDARD TYPE BOLTED (BIASA),300,REPAIR,,
3,BONGKAR,UNTANKING,SIDE WALL STANDARD TYPE BOLTED (STAINLESS),300,REPAIR,,
4,BONGKAR,UNTANKING,SIDE WALL STANDARDTYPE WELDED,300,REPAIR,,
3.5,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE BOLTED (BIASA),300,REPAIR,,
4,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE BOLTED (STAINLESS),300,REPAIR,,
3.5,BONGKAR,UNTANKING,SIDE WALL OLTC TYPE WELDED,300,REPAIR,,
0,BONGKAR,CONSERVATOR,CONSERVATOR,300,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX HV,300,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX LV,300,REPAIR,,
0,BONGKAR,CABLE BOX,CABLE BOX HV-LV,300,REPAIR,,
0,BONGKAR,RADIATOR PANEL,RADIATOR S/D 4 SUSUN,300,REPAIR,,
0,BONGKAR,RADIATOR PANEL,RADIATOR S/D 8 SUSUN,300,REPAIR,,
0.45,BONGKAR,ACCESSORIES / PROTEKSI,BUSHING HV,300,REPAIR,,
0.45,BONGKAR,ACCESSORIES / PROTEKSI,BUSHING LV,300,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,OIL LEVEL INDICATOR,300,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,BUCHHOLZ RELAY,300,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,PRESSURE RELIEF DEVICE,300,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,WINDING THERMOMETER,300,REPAIR,,
0.5,BONGKAR,ACCESSORIES / PROTEKSI,THERMOMETER,300,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,OLTC,300,REPAIR,,
0,BONGKAR,ACCESSORIES / PROTEKSI,MOTOR DRIVE,300,REPAIR,,
0.5,BONGKAR,CORE,ANGKAT COIL YOKE CORE ATAS,300,REPAIR,,
2,BONGKAR,CORE,ANGKAT COIL BONGKAR TOTAL,300,REPAIR,,
4,BONGKAR,CORE,ANGKAT COIL WOUND,300,REPAIR,,
4,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,300,REPAIR,,
4.5,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,300,REPAIR,,
13.25,COIL MAKING,COIL LV,SHEET KONDUKTOR (2 SECTION),300,REPAIR,,
13,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,300,REPAIR,,
14.25,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 2,300,REPAIR,,
15.8,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 3,300,REPAIR,,
18,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 4,300,REPAIR,,
0,COIL MAKING,COIL LV,FLAT HELICAL,300,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 1,300,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 2,300,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 3,300,REPAIR,,
0,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 4,300,REPAIR,,
0.25,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),300,REPAIR,,
1.5,COIL MAKING,COIL LV,GROUNDSHIELD,300,REPAIR,,
0.25,COIL MAKING,COIL LV,TRANSPOSE,300,REPAIR,,
10.5,COIL MAKING,COIL HV,SHEET KONDUKTOR 1,300,REPAIR,,
11,COIL MAKING,COIL HV,SHEET KONDUKTOR 2,300,REPAIR,,
11.75,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,300,REPAIR,,
11.75,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,300,REPAIR,,
11.75,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 1,300,REPAIR,,
11.75,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 2,300,REPAIR,,
13.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 3,300,REPAIR,,
15.5,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 4,300,REPAIR,,
11.75,COIL MAKING,COIL HV,2 SECTION,300,REPAIR,,
22.5,COIL MAKING,COIL HV,4 SECTION,300,REPAIR,,
10.5,COIL MAKING,COIL HV,FR OLTC,300,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 1,300,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 2,300,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 3,300,REPAIR,,
0,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 4,300,REPAIR,,
0.25,COIL MAKING,COIL HV,TRANSPOSE,300,REPAIR,,
0.5,COIL MAKING,COIL HV,PRESS COIL,300,REPAIR,,
7,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,WOUND-KOTAK,300,REPAIR,,
3,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,STACKING SUSUN CORE YOKE ATAS,300,REPAIR,,
8.5,CORE COIL ASSEMBLY,CORE COIL ASSEMBLY,STACKING SUSUN CORE TOTAL,300,REPAIR,,
