durasi_manhour,id_work_center,id_proses,id_tipe_proses,id_kapasitas,id_kategori_produk
0.5,1,63,94,26,5
0.5,1,63,95,26,5
1,1,63,96,26,5
8,2,64,97,26,5
10,2,64,98,26,5
12,2,64,99,26,5
3,2,65,100,26,5
4,2,65,101,26,5
3,2,66,102,26,5
3,2,66,103,26,5
2,2,67,104,26,5
0.5,2,67,105,26,5
1,2,68,106,26,5
1,2,68,107,26,5
3,2,68,108,26,5
4,2,68,109,26,5
0.25,2,96,152,26,5
0.25,2,96,153,26,5
0.25,2,96,154,26,5
0.25,2,96,155,26,5
4,2,69,110,26,5
2,2,69,111,26,5
7,3,70,112,26,5
9,3,70,113,26,5
0.5,3,71,114,26,5
8,3,70,115,26,5
6,3,72,116,26,5
3,3,72,117,26,5
5,3,73,116,26,5
4,3,73,117,26,5
1.5,3,74,118,26,5
3,3,74,119,26,5
1.75,3,74,120,26,5
2.5,3,74,121,26,5
1,3,75,122,26,5
0.75,3,75,123,26,5
4,3,75,124,26,5
8,3,75,125,26,5
2,3,111,56,26,5
50,3,111,51,26,5
2,3,111,126,26,5
1.25,3,77,127,26,5
1.25,3,77,128,26,5
3.5,5,6,15,26,5
22,1,2,80,27,5
23,1,2,81,27,5
25,1,2,82,27,5
28,1,2,83,27,5
22,1,2,84,27,5
23,1,2,85,27,5
25,1,2,86,27,5
28,1,2,87,27,5
12,1,1,80,27,5
13,1,1,81,27,5
15,1,1,82,27,5
15,1,1,83,27,5
5,1,1,88,27,5
6,1,1,89,27,5
10,1,1,84,27,5
10.5,1,1,85,27,5
2,1,62,90,27,5
1.5,1,62,91,27,5
1,1,62,92,27,5
1,1,63,93,27,5
0.5,1,63,94,27,5
0.5,1,63,95,27,5
1,1,63,96,27,5
8,2,64,97,27,5
10,2,64,98,27,5
12,2,64,99,27,5
3,2,65,100,27,5
4,2,65,101,27,5
3,2,66,102,27,5
3,2,66,103,27,5
2,2,67,104,27,5
0.5,2,67,105,27,5
2,2,68,106,27,5
1,2,68,107,27,5
3,2,68,108,27,5
4,2,68,109,27,5
0.25,2,96,152,27,5
0.25,2,96,153,27,5
0.25,2,96,154,27,5
0.25,2,96,155,27,5
4,2,69,110,27,5
2,2,69,111,27,5
7,3,70,112,27,5
9,3,70,113,27,5
0.5,3,71,114,27,5
8,3,70,115,27,5
6,3,72,116,27,5
3,3,72,117,27,5
5,3,73,116,27,5
4,3,73,117,27,5
1.5,3,74,118,27,5
3,3,74,119,27,5
1.75,3,74,120,27,5
2.5,3,74,121,27,5
1,3,75,122,27,5
0.75,3,75,123,27,5
4,3,75,124,27,5
8,3,75,125,27,5
2,3,111,56,27,5
50,3,111,51,27,5
2,3,111,126,27,5
1.25,3,77,127,27,5
1.25,3,77,128,27,5
3.5,5,6,15,27,5
22,1,2,80,28,5
23,1,2,81,28,5
25,1,2,82,28,5
28,1,2,83,28,5
22,1,2,84,28,5
23,1,2,85,28,5
25,1,2,86,28,5
28,1,2,87,28,5
12,1,1,80,28,5
13,1,1,81,28,5
15,1,1,82,28,5
15,1,1,83,28,5
5,1,1,88,28,5
6,1,1,89,28,5
10,1,1,84,28,5
10.5,1,1,85,28,5
2,1,62,90,28,5
1.5,1,62,91,28,5
1,1,62,92,28,5
1,1,63,93,28,5
0.5,1,63,94,28,5
0.5,1,63,95,28,5
1,1,63,96,28,5
8,2,64,97,28,5
